1;55;38;38;0
2;110;60;58;0.369042655519807
3;220;61;59;0.369042655519806
4;440;66;60;0.748811356849042
5;880;63;54;0.874107458820583
6;1760;57;40;0.980047376850311
7;3520;50;30;0.99
;;;;
;;;;
;;;;
1;55;44;39;0.683772233983162
2;110;64;58;0.748811356849042
3;220;71;59;0.936904265551981
4;440;70;53;0.980047376850311
5;880;71;54;0.980047376850311
6;1760;65;43;0.993690426555198
7;3520;58;32;0.99748811356849
;;;;
1;55;0;0.683772233983162;0.341886116991581
2;110;0.369042655519807;0.748811356849042;0.558927006184425
3;220;0.369042655519806;0.936904265551981;0.652973460535893
4;440;0.748811356849042;0.980047376850311;0.864429366849677
5;880;0.874107458820583;0.980047376850311;0.927077417835447
6;1760;0.980047376850311;0.993690426555198;0.986868901702755
7;3520;0.99;0.99748811356849;0.993744056784245
